screen_name,text,time,date
@slushstuff,"@femfreq Maybe, just maybe, you should stop being an insufferable lying cunt? Just helping you out, sister! #girlpower :^)",9:32 AM,1/24/2015
@itsdualchart,@femfreq die you dumb bitch everyone is threatened in games thats what we do learn bitch,12:01 PM,1/24/2015
@itsdualchart,@femfreq if you really got death threats you dumb bitch i wish you died,12:05 PM,1/24/2015
@ksg_daniel,I hate Fem Nazis. your just doing this for attention. its a video game sooo.. get the fuck over it. @femfreq,3:55 PM,1/24/2015
@alexischip_,@femfreq get hitchslapped and die you fucking ghoul,3:58 PM,1/24/2015
@undoxedguy,"@femfreq @vincentdonofrio Fuck you and your supporters. Oh and btw, we're gunning for you ;)",4:45 PM,1/24/2015
@spe91,@femfreq I was going to try and explain in 140 characters why your feminazi shit is a waste of time but I have more important things to do.,8:26 PM,1/24/2015
@gmtravismiller,@femfreq Seriously you are dumb. In GTA5 everyone has horrendous violence against them. Fuck off you rancid swine.,9:18 PM,1/24/2015
@mrdicksfagballs,Who is the biggest cunt ever -- @femfreq retrospring.net/MrDicksFagball...,11:39 PM,1/24/2015
@datfanman,"@femfreq so basically, you're a cunt. I mean if it walks like a duck and quacks like a duck. Take that title and own your ""cuntage""",3:47 AM,1/25/2015
@dejanljevar,"@femfreq You spelled ""Attention-Seeking Whore"" wrong.",5:55 AM,1/25/2015
@kush4days1,@femfreq hope you get raped by a wild pack of niggers,9:18 AM,1/25/2015
@staache,im going to come to your house and violently rape you in front of your family @femfreq,10:45 AM,1/25/2015
@modificaconsole,@Livelyivy @femfreq no thanks i buy only game whit sexy girl and only if they are naked and bitches coz i like boobs pussy and sexy woman.,1:42 PM,1/25/2015
@caspasia_boleyn,"You aren't being harassed @femfreq and you know it. People are disagreeing with you. Cant take the heat, get outta the kitchen.",3:54 PM,1/25/2015
@wicked_ninja123,@AlphaOmegaSin @femfreq I don't advocate violence against women at all but this bitch I'll make an exception for (WITH MY DICK),4:33 PM,1/25/2015
@triplesk7,@femfreq Fuck you,4:38 PM,1/25/2015
@xdeonteMS,@femfreq oh hey btw go fuck yourself you dumb fuckin cunt,4:48 PM,1/25/2015
@darkdoomer,"@femfreq so, can't take some criticism, call them liars despite the burden of proofs we have on you? c'mon bitch. you need some good dicking",5:24 PM,1/25/2015
@calumdhenderson,"@femfreq yeah, messages from accounts you created yourself don't count. Try again.",6:22 PM,1/25/2015
@buffpixels,"@femfreq you're not being abused, don't act like a victim you bitch. Your being rebelled. Your views are close-minded and ignorant.",8:02 PM,1/25/2015
@foapster,@femfreq good. I hope they harass you until you realize how much of a whiny bitch you are.,8:38 PM,1/25/2015
@racoon546,"@femfreq well boo fucking hoo, dont you ever get tired of playing the victim card you stupid cunt?",10:18 PM,1/25/2015
@lowkeytascher17,HEY @femfreq I HAVE A BITCH LOCKED IN MY BASEMENT AND I ONLY LET THAT CUNT OUT TO MAKE ME FOOD,10:19 PM,1/25/2015
@endergameinghd,@femfreq oh boo hoo stop crying about it you lying son of a bitch,1:37 AM,1/26/2015
@hewsxn,@femfreq god I wish you would just die,2:13 AM,1/26/2015
@musixts,@femfreq I hve never said this before to someone but please just die,7:19 AM,1/26/2015
@jackbarnesmra,"@GamingMattersUS @femfreq ""harassing"" will continue and accelerate. We're not going to stop until no one will openly admit to being feminist",9:15 AM,1/26/2015
@milessauber,"@femfreq Hey, Maybe if you were not a con-artist, Extorting money out of people with your ""Feminism"" You wouldn't get harassed. Cunt.",10:03 AM,1/26/2015
@chairmanwesker,@femfreq I have nothing against feminism but your one sexist bitch,10:26 AM,1/26/2015
@highlew,"@femfreq Well done cunt I was suspended not hard to make a new account idiot, females.",12:31 PM,1/26/2015
@willyff7,"@femfreq Just kill yourself dumb whore, stop feeding the media with all this fake feminist propaganda. you're worse than pat robertson.",12:44 PM,1/26/2015
@heavenlywanderr,"I can see a resemblance between @femfreq and the Nazis. ""Be like us or face the consequences """,1:30 PM,1/26/2015
@aidancrane1,@femfreq OMG burh jus go and die on a plane er some schiesse i men nodoby give panus bout you,1:54 PM,1/26/2015
@spence120,@femfreq please die,2:08 PM,1/26/2015
@jamieagatharose,@xdistanthero I'm calling out @femfreq on being the whiny self-aggrandizing greedy little con-artist bitch that she is.,2:46 PM,1/26/2015
@agoristartist,@Azure190 @thewtfmagazine @femfreq >400k >I need a new computer I hope that bitch gets cut in half by a goddamn train.,3:11 PM,1/26/2015
@aud_problems,@femfreq hoe,5:36 PM,1/26/2015
@pokeprince123,i dont even play video games like she talks aobut and i can tell there's something wrong with this bitch...@femfreq your a sin...,5:47 PM,1/26/2015
@vvvvvvv42279705,@femfreq Shut the fuck up you fucking cunt and make me a sandwich.,5:50 PM,1/26/2015
